epoch,train_loss,val_loss
1,3.0988678712362407,0.12210476984342258
2,2.4788531800638327,0.11286781212375974
3,2.311851519293476,0.10321401317353718
4,2.1589202652422106,0.09721526945611768
5,2.063138473706236,0.09367796345013266
6,2.001082602527935,0.0914762755122972
7,1.9554798168671017,0.08991853743900333
8,1.9186226736719099,0.08908632828724554
9,1.8864340652455707,0.08848074867460555
10,1.860343742403967,0.08774426653469501
11,1.8355496585187265,0.0876220014346388
12,1.8108630020919705,0.0871104499866689
13,1.7885590461806928,0.087491089971036
14,1.7683871059234246,0.08725856153537055
15,1.7484773284397839,0.08708491438727525
16,1.7282432231416143,0.08709871278519049
17,1.7071515538551336,0.08672239762322895
18,1.6889206183563554,0.08658126095762206
19,1.6691650123490107,0.0863144523676807
20,1.6489251248994035,0.08661047915990691
21,1.6301443768449473,0.0868605363700341
22,1.611175066477705,0.08752592024874906
23,1.5914848431923467,0.08728435090009676
24,1.5741650934276081,0.08717265354790801
25,1.556214834299441,0.08752390488774564
26,1.5364528774602701,0.08783329053796066
27,1.515749787175217,0.08768848243699708
28,1.4956547143902799,0.08736736878955303
29,1.4772697023263974,0.08754216553744851
30,1.4589731481293273,0.08785031798619919
31,1.4398438073288053,0.08811304489255281
32,1.4184406513044958,0.08871910679316797
33,1.399102620906752,0.08861569406859468
34,1.3790138526147282,0.08877792136851147
35,1.3596468341340255,0.08972853750579449
36,1.3399000937244117,0.09142436660236464
37,1.322233976788078,0.09052795818915957
38,1.3043863205692794,0.091225438599114
39,1.2852479451202354,0.09147925742060242
40,1.264669905653701,0.09139126737489014
41,1.246790111141295,0.09231821199654283
42,1.227259013167589,0.09288669986093745
43,1.2076411769403315,0.09340479814658426
44,1.1878754135508593,0.09309558782939761
45,1.168005756421465,0.09349477659622853
46,1.1463827503182809,0.09396577076700105
47,1.127954198788594,0.09398775825011854
48,1.1091120185386791,0.09387475971062423
49,1.0908760910745923,0.0943794678954012
50,1.0728936018121804,0.09492587991646048
