epoch,train_loss,val_loss
1,5.860982303949554,0.07264379892777535
2,5.16129139546644,0.0661046690112428
3,4.766328525118744,0.06268221492907254
4,4.527780939870548,0.060552396124175845
5,4.357396240355715,0.05897646595314505
6,4.222708573719298,0.0577150388957563
7,4.106269604451782,0.05667426957707006
8,4.0020774974195135,0.055835363326974495
9,3.9033764057037756,0.05525116311307243
10,3.8093417946001766,0.05441057568992223
11,3.717088998468872,0.05395374376587416
12,3.628955188863755,0.05340880532024969
13,3.5467847197918494,0.05290996569771527
14,3.459736645012224,0.052491048726525324
15,3.3737360499443096,0.052080528022437136
16,3.295063400383629,0.05185446433761633
17,3.2174606129540693,0.05161509379053994
18,3.1377917074963215,0.0511617148619983
19,3.05791202831607,0.050972761888584225
20,2.9798836417630605,0.05064508901723362
21,2.9048585343971682,0.050347542673173415
22,2.831175226756054,0.050155539400868906
23,2.750915787924261,0.04983768678133806
24,2.674939874758368,0.049352326446877204
25,2.602182245934963,0.04889206277127555
26,2.52551951415797,0.04865860802518551
27,2.4546768621713357,0.048641098443586044
28,2.381713925087505,0.04843495160442577
29,2.308546854959916,0.048231298626162405
30,2.239185965818213,0.047833653335857956
31,2.1668373714430866,0.047559013134636764
32,2.09809811610709,0.04721506027143871
33,2.025766188925843,0.04705704525473037
34,1.9566681532744172,0.04676218927813079
35,1.8912529692885365,0.04677009979243952
36,1.8223702730292237,0.0466845570491068
37,1.7631829595638189,0.04663921528712307
38,1.6952632470167965,0.0466810534179136
39,1.6346759396346198,0.04645556799092944
40,1.5676980375470086,0.04611775768018618
41,1.5045920515024884,0.04613035252875347
42,1.4462572804005582,0.04583547424173756
43,1.3899258210521763,0.04578957457004068
44,1.331797505206393,0.04582669534886282
45,1.2775629450172088,0.04582160507593924
46,1.228635936850925,0.04556311627239719
47,1.1771688286883968,0.04539535469649665
48,1.1262008295590435,0.04544443059509354
49,1.0750475363186351,0.04523386213429223
50,1.030161400801862,0.044901141861850576
