epoch,train_loss,val_loss
1,7.112676620483398,7.070066452026367
2,7.107594013214111,6.9896721839904785
3,7.001779079437256,7.013906002044678
4,6.973443031311035,6.978650093078613
5,6.996218681335449,6.947729110717773
6,6.925120830535889,6.887148380279541
7,6.866948127746582,6.8798723220825195
8,6.7763590812683105,6.887397766113281
9,6.7538628578186035,6.8581414222717285
10,6.743494510650635,6.822443962097168
11,6.74408483505249,6.777292728424072
12,6.700849533081055,6.761087417602539
13,6.623831272125244,6.756268501281738
14,6.711747646331787,6.736563682556152
15,6.692330360412598,6.718584060668945
16,6.601810932159424,6.69060754776001
17,6.554732799530029,6.675714492797852
18,6.620922565460205,6.656993865966797
19,6.54538631439209,6.67011022567749
20,6.616652011871338,6.6291279792785645
21,6.5538225173950195,6.641564846038818
22,6.5565361976623535,6.621464252471924
23,6.447774410247803,6.595211505889893
24,6.51796817779541,6.60917329788208
25,6.505533218383789,6.558555603027344
26,6.594645977020264,6.58633279800415
27,6.5646538734436035,6.5745110511779785
28,6.499608993530273,6.549704551696777
29,6.50439453125,6.521518230438232
30,6.551833152770996,6.560084819793701
31,6.4391961097717285,6.548266410827637
32,6.45700216293335,6.537799835205078
33,6.445801258087158,6.534274578094482
34,6.474421977996826,6.520168304443359
35,6.461106777191162,6.497470378875732
36,6.4519829750061035,6.508993148803711
37,6.430581092834473,6.509341716766357
38,6.427708625793457,6.50881290435791
39,6.439598083496094,6.494883060455322
40,6.374838829040527,6.491483211517334
41,6.44840145111084,6.49355936050415
42,6.378780841827393,6.484679698944092
43,6.314570426940918,6.493336200714111
44,6.388542652130127,6.486196041107178
45,6.36504602432251,6.47940731048584
46,6.477649688720703,6.464189052581787
47,6.367856502532959,6.474193572998047
48,6.437291145324707,6.455798625946045
49,6.312245845794678,6.462052822113037
50,6.376281261444092,6.468405723571777
51,6.411766529083252,6.475095272064209
52,6.304462909698486,6.458037853240967
53,6.3633036613464355,6.41740608215332
54,6.476263523101807,6.431554794311523
55,6.416568279266357,6.408390522003174
56,6.398144721984863,6.428109169006348
57,6.315725803375244,6.417680263519287
58,6.361364364624023,6.407148838043213
59,6.333079814910889,6.413488388061523
60,6.35645866394043,6.383243083953857
61,6.377530574798584,6.381793975830078
62,6.333728790283203,6.389001369476318
63,6.362685203552246,6.371035575866699
64,6.318003177642822,6.39109468460083
65,6.313360214233398,6.391966819763184
66,6.318108558654785,6.414204120635986
67,6.316395282745361,6.400374889373779
68,6.404325485229492,6.417644023895264
69,6.4039530754089355,6.3619818687438965
70,6.341698169708252,6.389708042144775
71,6.349442958831787,6.392879009246826
72,6.322781085968018,6.373019695281982
73,6.343780994415283,6.36584997177124
74,6.314122676849365,6.39732551574707
75,6.281388759613037,6.390246868133545
76,6.228262424468994,6.370619773864746
77,6.322283744812012,6.388502597808838
78,6.333417892456055,6.380459308624268
79,6.24960994720459,6.343842506408691
80,6.325945854187012,6.377677917480469
81,6.267056465148926,6.365265369415283
82,6.272135257720947,6.381402969360352
83,6.231559753417969,6.3599853515625
84,6.366957187652588,6.37950325012207
85,6.266779899597168,6.376231670379639
86,6.25944185256958,6.363859176635742
87,6.319730758666992,6.355464935302734
88,6.276174545288086,6.349372386932373
89,6.224340438842773,6.3659515380859375
90,6.335696220397949,6.340351581573486
91,6.289207458496094,6.361918926239014
92,6.275757789611816,6.315029621124268
93,6.333616733551025,6.354802131652832
94,6.298076629638672,6.362033367156982
95,6.253527641296387,6.331027984619141
96,6.378707408905029,6.3420939445495605
97,6.303238391876221,6.3320417404174805
98,6.317301273345947,6.356551170349121
99,6.297573089599609,6.339419364929199
100,6.221457004547119,6.34826135635376
101,6.221478462219238,6.3240532875061035
102,6.238852024078369,6.352517604827881
103,6.3181843757629395,6.31791353225708
104,6.24920129776001,6.315321445465088
105,6.265778064727783,6.326605319976807
106,6.322343826293945,6.328763484954834
107,6.281586647033691,6.313670635223389
108,6.316502094268799,6.324192047119141
109,6.288074493408203,6.351197719573975
110,6.235548496246338,6.322936058044434
111,6.21994161605835,6.31545352935791
112,6.2288384437561035,6.317540168762207
113,6.273472785949707,6.312556743621826
114,6.267091274261475,6.334325313568115
115,6.2706732749938965,6.3105292320251465
116,6.252261161804199,6.324202060699463
117,6.263636589050293,6.326813697814941
118,6.2818989753723145,6.320741176605225
119,6.288651466369629,6.319614410400391
120,6.161948204040527,6.322365760803223
121,6.262200355529785,6.3116326332092285
122,6.263315200805664,6.314504623413086
123,6.282981872558594,6.310667037963867
