epoch,train_loss
1,10.194774627685549
2,10.184364318847656
3,10.176450729370115
4,10.181480407714844
5,10.181147575378418
6,10.183664321899414
7,10.180200576782228
8,10.18232536315918
9,10.178813934326172
10,10.18284797668457
11,10.184507369995115
12,10.173871994018556
13,10.181623458862305
14,10.179288864135742
15,10.185077667236328
16,10.184881210327148
17,10.184663772583008
18,10.17852020263672
19,10.180856704711914
20,10.181117057800291
21,10.178579330444336
22,10.186084747314451
23,10.1809720993042
24,10.17653465270996
25,10.18268871307373
26,10.177698135375977
27,10.17913818359375
28,10.182165145874023
29,10.178916931152344
30,10.173588752746582
31,10.183134078979492
32,10.185272216796877
33,10.178744316101074
34,10.175138473510742
35,10.184717178344728
36,10.183815002441406
37,10.180904388427734
38,10.177610397338867
39,10.184656143188477
40,10.178717613220217
41,10.18545150756836
42,10.176685333251951
43,10.180648803710938
44,10.179183959960938
45,10.180902481079102
46,10.181175231933594
47,10.179039001464844
48,10.178792953491213
49,10.179769515991213
50,10.185258865356444
51,10.177326202392578
52,10.180274963378906
53,10.177727699279783
54,10.184370040893556
55,10.177387237548828
56,10.182561874389648
57,10.183380126953123
58,10.179084777832031
59,10.180353164672852
60,10.184188842773438
61,10.17939567565918
62,10.180505752563477
63,10.180788040161133
64,10.177221298217772
65,10.182832717895508
66,10.18434715270996
67,10.182798385620115
68,10.176301956176758
69,10.178709983825684
70,10.181077003479004
71,10.185284614562988
72,10.179832458496094
73,10.180727005004885
74,10.18032169342041
75,10.176321029663086
76,10.182538986206056
77,10.176374435424805
78,10.180742263793944
79,10.177410125732422
80,10.182061195373535
81,10.179364204406738
82,10.179600715637209
83,10.177082061767578
84,10.18246078491211
85,10.178384780883787
86,10.177569389343262
87,10.1871337890625
88,10.182555198669434
89,10.179191589355469
90,10.182263374328612
91,10.17812442779541
92,10.182842254638672
93,10.178985595703123
94,10.179800033569336
95,10.175777435302734
96,10.181059837341309
97,10.174903869628906
98,10.18049430847168
99,10.184160232543944
100,10.176077842712402
101,10.18330192565918
102,10.18276596069336
103,10.179426193237305
104,10.17769718170166
105,10.185861587524414
106,10.180343627929688
107,10.183555603027344
108,10.177574157714844
109,10.17868995666504
110,10.177837371826172
111,10.185319900512695
112,10.183161735534668
113,10.182705879211426
114,10.18310546875
115,10.177738189697266
116,10.176450729370115
117,10.181058883666992
118,10.178182601928713
119,10.176671981811523
120,10.179237365722656
121,10.187705993652344
122,10.177816390991213
123,10.179144859313965
124,10.178674697875977
125,10.184764862060549
126,10.17485809326172
127,10.179742813110352
128,10.181442260742188
129,10.182401657104492
130,10.179136276245115
131,10.182222366333008
132,10.177349090576172
133,10.17895221710205
134,10.181201934814451
135,10.179598808288574
136,10.178701400756836
137,10.177457809448242
138,10.180919647216797
139,10.18606662750244
140,10.179800033569336
141,10.175897598266602
142,10.17629051208496
143,10.175168991088867
144,10.179859161376951
145,10.172666549682615
146,10.175395965576172
147,10.176750183105469
148,10.175909042358398
149,10.173322677612305
150,10.17363739013672
151,10.174135208129885
152,10.17390251159668
153,10.18074893951416
154,10.173903465270996
155,10.170050621032717
156,10.173901557922363
157,10.170618057250977
158,10.170278549194336
159,10.169708251953123
160,10.16945743560791
161,10.170949935913086
162,10.171478271484377
163,10.170604705810549
164,10.16946792602539
165,10.170187950134276
166,10.162370681762695
167,10.164250373840332
